bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
13685000,5907041,59070216,resi,sfd,4,sfd4,2.9,2.9,0.88,0.1,2.55
13651011,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13687000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13688000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
2482001,5907041,59070216,resi,sfd,4,sfd4,2.9,2.9,0.88,0.1,2.55
13689000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13690000,5907041,59070211,resi,sfd,4,sfd4,2.9,2.9,0.89,0.1,2.58
13692000,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13693000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13694000,5907041,59070216,resi,mf,8,mf,0.859982639,6.879861111,0.88,0.1,6.05
13695000,5907041,59070214,resi,mf,20,mf,0.859982639,17.19965278,0.8,0.1,13.76
13686001,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13651012,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651013,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651014,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13696000,5907041,59070216,resi,sfd,4,sfd4,2.9,2.9,0.88,0.1,2.55
13697000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13698000,5907041,59070216,resi,sfd,6,sfd4,2.9,2.9,0.88,0.1,2.55
13699000,5907041,59070210,resi,sfd,6,sfd4,2.9,2.9,0.9,0.1,2.61
2497001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13700000,5907041,59070213,resi,sfd,5,sfd4,2.9,2.9,0.96,0.1,2.78
13701000,5907041,59070210,resi,sfd,3,sfd3,2.4,2.4,0.9,0.1,2.16
13702000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
2408003,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
2408004,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13704000,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13705000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13706000,5907041,59070211,resi,sfd,4,sfd4,2.9,2.9,0.89,0.1,2.58
2408005,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13707000,5907041,59070213,resi,mf,42,mf,0.859982639,36.11927083,0.96,0.1,34.67
13708000,5907041,59070213,resi,mf,73,mf,0.859982639,62.77873264,0.96,0.1,60.27
13709000,5907041,59070216,resi,sfd,5,sfd4,2.9,2.9,0.88,0.1,2.55
13710000,5907041,59070208,resi,mf,6,mf,0.859982639,5.159895833,0.92,0.1,4.75
13710001,5907041,59070208,resi,mf,6,mf,0.859982639,5.159895833,0.92,0.1,4.75
13711000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13712000,5907041,59070210,resi,sfd,6,sfd4,2.9,2.9,0.9,0.1,2.61
13713000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13714000,5907041,59070213,resi,sfd,4,sfd4,2.9,2.9,0.96,0.1,2.78
13710002,5907041,59070208,resi,mf,6,mf,0.859982639,5.159895833,0.92,0.1,4.75
254419,5907041,59070208,resi,sfd,1,sfd1,1.283333333,1.283333333,0.92,0.1,1.18
13662001,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13718000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13719000,5907041,59070216,resi,sfd,1,sfd1,1.283333333,1.283333333,0.88,0.1,1.13
13666001,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
13720000,5907041,59070216,resi,sfd,5,sfd4,2.9,2.9,0.88,0.1,2.55
13716001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13721000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13722000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13723000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13666002,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
2516001,5907041,59070210,resi,sfd,3,sfd3,2.4,2.4,0.9,0.1,2.16
13666003,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
13725000,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13726000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13727000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13728000,5907041,59070216,resi,sfd,2,sfd2,1.8,1.8,0.88,0.1,1.58
13666004,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
13662002,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13729000,5907041,59070213,resi,sfd,1,sfd1,1.283333333,1.283333333,0.96,0.1,1.23
13666005,5907041,59070211,resi,mf,9,mf,0.859982639,7.73984375,0.89,0.1,6.89
2535001,5907041,59070213,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
13651015,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13732000,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13733000,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13734000,5907041,59070216,resi,mf,8,mf,0.859982639,6.879861111,0.88,0.1,6.05
13651016,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13735000,5907041,59070222,resi,sfd,5,sfd4,2.9,2.9,0.87,0.1,2.52
13651017,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
