bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
254221,,0.0,0.0,0.0,0.0,,0.0
254222,,0.0,0.0,0.0,0.0,,0.0
254223,,0.0,0.0,0.0,0.0,,0.0
254226,,0.0,0.0,0.0,0.0,,0.0
254227,,0.0,0.0,0.0,0.0,,0.0
254228,,0.0,0.0,0.0,0.0,,0.0
254229,,0.0,0.0,0.0,0.0,,0.0
254232,,0.0,0.0,0.0,0.0,,0.0
254233,,0.0,0.0,0.0,0.0,,0.0
254235,,0.0,0.0,0.0,0.0,,0.0
254236,,0.0,0.0,0.0,0.0,,0.0
254239,,0.0,0.0,0.0,0.0,,0.0
254242,,0.0,0.0,0.0,0.0,,0.0
254243,,0.0,0.0,0.0,0.0,,0.0
254248,,0.0,0.0,0.0,0.0,,0.0
254252,,0.0,0.0,0.0,0.0,,0.0
254254,0.0,56177.7,58025.083,58141.167,58187.6,58218.555,7078.698
254258,,0.0,0.0,0.0,0.0,,0.0
254259,,0.0,0.0,0.0,0.0,,0.0
254265,,0.0,0.0,0.0,0.0,,0.0
254274,,0.0,0.0,0.0,0.0,,0.0
254298,0.0,6500.0,6500.0,6500.0,6500.0,6500.0,812.5
254303,,0.0,0.0,0.0,0.0,,0.0
254306,,0.0,0.0,0.0,0.0,,0.0
254307,,0.0,0.0,0.0,0.0,,0.0
254314,,0.0,0.0,0.0,0.0,,0.0
254317,,0.0,0.0,0.0,0.0,,0.0
254324,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
254326,0.0,25555.6,33118.5,34173.2,36133.35,37440.117,3437.415
254330,0.0,27233.45,31124.895,31244.295,32448.742,33251.707,3526.839
254336,,0.0,0.0,0.0,0.0,,0.0
254344,,0.0,0.0,0.0,0.0,,0.0
254369,0.0,16000.0,16000.0,16000.0,88583.2,136972.0,2302.43
254370,0.0,16000.0,16000.0,23665.2,88873.333,132345.422,2329.19
254372,0.0,10000.0,49937.25,52043.333,57482.667,61108.89,2486.577
254374,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
254375,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,1000.0
254378,0.0,10000.0,10000.0,24372.25,47877.5,63547.667,1455.73
254379,0.0,112758.5,122310.5,122668.7,126399.95,128887.45,14399.606
254381,0.0,8000.0,8000.0,8000.0,36433.4,55389.0,1118.472
254383,0.0,12000.0,60157.65,63381.45,71033.0,76134.033,3000.789
254394,0.0,54000.0,196493.58,394058.957,429252.069,452714.144,12653.186
254397,0.0,145669.875,174468.667,184897.05,192022.675,196773.092,19180.601
254398,0.0,352150.7,419283.267,441991.8,458362.9,469276.967,46271.341
254399,0.0,23400.0,23400.0,23400.0,23400.0,23400.0,2925.0
254400,0.0,7800.0,7800.0,7800.0,39342.77,60371.283,1106.428
254409,,0.0,0.0,0.0,0.0,,0.0
254410,0.0,0.0,0.0,88383.033,92642.96,95482.911,680.622
254413,,0.0,0.0,0.0,0.0,,0.0
254414,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,750.0
254415,0.0,63404.28,63460.0,63460.0,63460.0,63460.0,7927.207
254416,0.0,23400.0,214197.075,231682.5,234310.5,236062.5,8791.003
254417,0.0,27300.0,252973.35,272902.35,275903.18,277903.733,10344.671
254418,,0.0,0.0,0.0,0.0,,0.0
254419,0.0,8371.56,38591.485,40485.9,41142.9,41580.9,1969.988
254420,,0.0,0.0,0.0,0.0,,0.0
254422,0.0,13000.0,13000.0,13000.0,114111.417,181519.028,2046.298
254424,,0.0,0.0,0.0,0.0,,0.0
254425,,0.0,0.0,0.0,0.0,,0.0
